Prefix,Name,MC_ID,DNO,MCInstallationDate,NumberOfHousesOnFeeder,CableRating,EVClusterSize
BL,Lyndhurst,14648,SSEPD,2015-01-19 00:00:00.000,23,239,7
CC,Chiswick,14647,SSEPD,2014-01-29 00:00:00.000,149,335,8
CRG,Chineham,14778,SSEPD,2014-02-20 00:00:00.000,122,320,10
GC,South Gosforth,14614,Northern Powergrid,2014-02-13 00:00:00.000,57,350,9
JD,Whiteley,14646,SSEPD,2014-02-21 00:00:00.000,62,320,10
MC,Marlow,14624,SSEPD,2014-02-12 00:00:00.000,57,350,9
SS,South Shields 1,14617,Northern Powergrid,2014-02-13 00:00:00.000,54,420,11
SS2,South Shields 2,14127,Northern Powergrid,2014-03-03 00:00:00.000,61,445,12
ST,Social Trial,NULL,NULL,NULL,NULL,NULL,NULL
SW,Slough - Social Trial,NULL,SSEPD,NULL,NULL,NULL,NULL
WC,Wylam,13387,SSEPD,2014-02-13 00:00:00.000,72,420,10
YH,Your Homes,14621,Northern Powergrid,2014-03-03 00:00:00.000,NULL,320,6
